thousand,千、千の,せん、せんの
they,彼らは,かれらは
relinquish,放棄する、捨てる,ほうきする、すてる
connotation,言外の意味,げんがいのいみ
be in need of,を必要とする,をひつようとする
disgruntled,不満な、不機嫌な,ふまんな、ふきげんな
smog,煙霧、煙,えんむ、けむり
fiduciary,受託者,じゅたくもの
July,7月,7がつ
flexible,柔軟な、融通の利く,じゅうなんな、ゆうづうのきく
morale,士気、風紀,しき、ふうき
kidnap,を誘拐する,をゆうかいする
give way,道を譲る、くじける,みちをゆずる、くじける
immensely,非常に大きいこと、莫大に。,ひじょうにおおきいこと、ばくだいに。
hospital,病院,びょういん
lecture,長々と説教や指導を行うこと。,ながながとせっきょうやしどうをおこなうこと。
enrichment,濃縮,のうしゅく
integrity,誠実さ、誠意,せいじつさ、せいい
purport,趣旨、目的、意図,しゅし、もくてき、いと
burglar,強盗、泥棒,ごうとう、どろぼう
decided,決定した、選択を確定した。,けっていした、せんたくをかくていした。
correspond,対応する、反応する,たいおうする、はんのうする
bedrock,岩盤、硬層,がんばん、こうそう
master,主人、支配人,しゅじん、しはいにん
all the way,はるばる、わざわざ,はるばる、わざわざ
glimpse,ちらっと見る、一瞥,ちらっとみる、いちべつ
concerned,その出来事や物事に関与している、または心配している状態。,そのできごとやものごとにかんよしている、またはしんぱいしているじょうたい。
notion,考え、意見,かんがえ、いけん
economic stimulus,経済刺激策。景気を刺激するための政策パッケージ。,けいざいしげきさく。けいきをしげきするためのせいさくぱっけーじ。
negotiation,交渉、話し合い。複数の当事者間で合意を目指す過程。,こうしょう、はなしあい。ふくすうのとうじしゃかんでごういをめざすかてい。
how are you?,お元気ですか？,おげんきですか?
fall off,減少する、減る,げんしょうする、へる
pass off,次第に消える、徐々に消える,しだいにきえる、じょじょにきえる
really,本当に,ほんとうに
carbohydrate,炭水化物、糖質,たんすいかぶつ、とうしつ
tip over,ひっくり返る、転覆する,ひっくりかえる、てんぷくする
constitute,構成する、組み立てる,こうせいする、くみたてる
profane,不敬の,ふけいの
surmise,を推測する,をすいそくする
gain,を得る、利益を獲得。,をえる、りえきをかくとく。
turnaround,方向転換、業績回復,ほうこうてんかん、ぎょうせきかいふく
hesitant,ためらった、躊躇した,ためらった、ちゅうちょした
casserole,グラタン風の煮込み料理,ぐらたんかぜのにこみりょうり
string,紐、糸、文字列(プログラミング),ひも、いと、もじれつ(ぷろぐらみんぐ)
make over,を作り替える、を改装する,をつくりかえる、をかいそうする
below,下に、下記の,したに、かきの
exploit,功績、業績、活用する,こうせき、ぎょうせき、かつようする
back-propagation,誤差逆伝播。ニューラルネットワークの学習アルゴリズムの一つ。,ごさぎゃくでんぱ。にゅーらるねっとわーくのがくしゅうあるごりずむのひとつ。
sour grapes,負け惜しみ,まけおしみ
degradation,降格、格下げ,こうかく、かくさげ
merrily,陽気に、楽しそうに,ようきに、たのしそうに
be meant to,することを意図されている,することをいとされている
dizzy,めまいがする、ふらふらする,めまいがする、ふらふらする
at close quarters,間近に、接近して,まじかに、せっきんして
osteoporosis,骨粗鬆症,こつそしょうしょう
gateway,ある場所への出入り口、または通過点。,あるばしょへのでいりくち、またはつうかてん。
played,演奏した,えんそうした
speculative,思索的な、考察的な、思考に関する,しさくてきな、こうさつてきな、しこうにかんする
outbreak,突発、ぼっ発,とっぱつ、ぼっはつ
indicated,示された。何かを示唆したり、明らかにしたりすること。,しめされた。なにかをしさしたり、あきらかにしたりすること。
quartet,四人組の演奏団体。,よにんくのえんそうだんたい。
harry,うるさく悩ます、蹂躙する、苦しめる,うるさくなやます、じゅうりんする、くるしめる
savvy,分かる、理解する,わかる、りかいする
agile,機敏な,きびんな
mindful,気をつけて、注意深く,きをつけて、ちゅういぶかく
overstate,誇張する、過大評価する,こちょうする、かだいひょうかする
get over,を乗りこえる、克服する,をのりこえる、こくふくする
annihilate,全滅させる,ぜんめつさせる
talon,爪,つめ
right now,ちょうど今,ちょうどいま
file a suit,提訴する、訴訟を提出する、告訴する,ていそする、そしょうをていしゅつする、こくそする
appoint,任務を与えること。,にんむをあたえること。
adage,格言,かくげん
dearly,心から、真心で,こころから、まごころで
circumscribe,取り巻く,とりまく
discerning,洞察力のある、鋭い理解力,どうさつりょくのある、するどいりかいりょく
cover,を覆う、隠す,をおおう、かくす
insane,正気でない、狂気の,しょうきでない、きょうきの
nightmare,悪夢,あくむ
deadly,致命的な、命にかかわる,ちめいてきな、いのちにかかわる
conceptual,概念的な、概念の,がいねんてきな、がいねんの
sacrosanct,神聖視される、絶対的な,しんせいしされる、ぜったいてきな
decimal,小数,しょうすう
be prone to,する傾向がある、しがちである,するけいこうがある、しがちである
large,大きい、広い,おおきい、ひろい
scalability,スケーラビリティ。システムの拡張性や規模拡大への対応能力。,すけーらびりてぃ。しすてむのかくちょうせいやきぼかくだいへのたいおうのうりょく。
maelstrom,大渦、混沌,だいうず、こんとん
existence,存在、実在,そんざい、じつざい
torso,胴体、胴部,どうたい、どうぶ
mate,仲間、同僚、配偶者,なかま、どうりょう、はいぐうしゃ
valley,山と山の間の低地、渓谷、谷間。,やまとやまのまのていち、けいこく、たにま。
impression,印象、感銘、跡,いんしょう、かんめい、あと
map,地図,ちず
corrupt,不正や不道徳な行動によって堕落した状態。,ふせいやふどうとくなこうどうによってだらくしたじょうたい。
coma,こん睡状態,こんすいじょうたい
workshop,作業場。何かを作る、修理する、または学ぶための場所。,さぎょうば。なにかをつくる、しゅうりする、またはまなぶためのばしょ。
languid,だるい,だるい
reject,拒否する、却下する、拒絶する。,きょひする、きゃっかする、きょぜつする。
alliance,同盟、協定,どうめい、きょうてい
lagoon,礁湖、潟湖(環礁は誤り),しょうみずうみ、せきこ(かんしょうはあやまり)
reckon,計算する、推測する,けいさんする、すいそくする
cursory,大ざっぱな,おおざっぱな
civility,礼儀正しさ、マナーの良さ,れいぎただしさ、まなーのよさ
lucrative,収益性の高い、儲かる,しゅうえきせいのたかい、もうかる
veterinarian,獣医,じゅうい
mend,を直す、修繕する,をなおす、しゅうぜんする
delighted,喜びを感じる様子。,よろこびをかんじるようす。
reception,受付・応接・歓迎会,うけつけ・おうせつ・かんげいかい
deference,尊敬,そんけい
vigorous,精力的な、元気な,せいりょくてきな、げんきな
out of the question,問題外で,もんだいがいで
flare up,急に燃え上がる、勃発する,きゅうにもえあがる、ぼっぱつする
compression,圧縮、ようやく,あっしゅく、ようやく
build A into B,AをBに組み入れる,AをBにくみいれる
unconventional,型破りな、非凡な,かたやぶりな、ひぼんな
razor,かみそり,かみそり
poach,密漁する,みつりょうする
i'm doing well,元気です,げんきです
recently,最近、つい先日。ここ数日や数週間、数ヶ月の間を指します。,さいきん、ついせんじつ。ここすうじつやすうしゅうかん、すうかげつのかんをさします。
architecture,建物や構造物の設計。,たてものやこうぞうぶつのせっけい。
intimately,親密に、密接に,しんみつに、みっせつに
knave,悪党、いたずら者,あくとう、いたずらもの
distracted,気の散った、注意をそらされた,きのちった、ちゅういをそらされた
gross,全体の、総体的な,ぜんたいの、そうたいてきな
regularly,一定の間隔で繰り返し行う,いっていのかんかくでくりかえしおこなう
carefully,注意深く,ちゅういぶかく
informant,通報者、情報提供者,つうほうもの、じょうほうていきょうしゃ
cherry-pick,良いものを選び抜く,よいものをえらびぬく
run down,流れ落ちる、荒廃する,ながれおちる、こうはいする
confide,を打ち明ける、信用する,をうちあける、しんようする
denote,表示する、示す,ひょうじする、しめす
completely,完全に、または全ての面で。何も欠けることなく全体的に、という意味です。,かんぜんに、またはすべてのめんで。なにもかけることなくぜんたいてきに、といういみです。
predator,捕食動物、略奪者,ほしょくどうぶつ、りゃくだつもの
sarah,女性名、親しみやすい,じょせいめい、したしみやすい
genus,属、分類や所属,ぞく、ぶんるいやしょぞく
cult,儀式、信仰,ぎしき、しんこう
steamed dish,蒸し料理,むしりょうり
back and forth,行ったり来たりして,いったりきたりして
lapse,過失、経過、失効,かしつ、けいか、しっこう
safe travels,良い旅を,よいたびを
rally,目的のために人が集まる、または結集する。,もくてきのためににんがあつまる、またはけっしゅうする。
amazing,驚くべき,おどろくべき
augment,増やす、強化する,ふやす、きょうかする
awake,目を覚ましている、覚醒している,めをさましている、かくせいしている
sailor,船員,せんいん
infect,感染する、伝染する、影響を与える。,かんせんする、でんせんする、えいきょうをあたえる。
flimsy,薄っぺらな,うすっぺらな
talk up,を大袈裟にほめる、過大に評価する,をおおげさにほめる、かだいにひょうかする
multiple,複数の。二つ以上の要素や項目が存在する状態を示す形容詞。,ふくすうの。ふたついじょうのようそやこうもくがそんざいするじょうたいをしめすけいようし。
difference,差、違い。二つ以上の物や状況が異なる部分を意味します。,さ、ちがい。ふたついじょうのものやじょうきょうがことなるぶぶんをいみします。
draw,形を描くこと、または線を引く。,かたちをえがくこと、またはせんをひく。
its,その,その
scum,薄皮、上皮,うすかわ、じょうひ
nonchalant,無関心な,むかんしんな
preferable,望ましい、他より選ばれるべき。,のぞましい、ほかよりえらばれるべき。
machine,機械。ある仕事をするために作られた装置。,きかい。あるしごとをするためにつくられたそうち。
sovereign debt,国債。政府が発行する債券。,こくさい。せいふがはっこうするさいけん。
simultaneously,同時に,どうじに
electoral process,選挙手続き,せんきょてつづき
luncheon,昼食、正午頃に食べる食事,ちゅうしょく、しょうごごろにたべるしょくじ
previously,それ以前の時点では,それいぜんのじてんでは
steady,着実な、安定した,ちゃくじつな、あんていした
core competency,企業の中核となる独自技術や強み,きぎょうのちゅうかくとなるどくじぎじゅつやつよみ
complex,複雑な、込み入った。単純ではなく、多くの要素が絡み合っている状態。,ふくざつな、こみいっった。たんじゅんではなく、おおくのようそがからみあっているじょうたい。
this way,このように,このように
get back,取り戻す,とりもどす
elucidation,解明,かいめい
high school,高校,こうこう
deft,器用な、巧妙な,きような、こうみょうな
obtuse,鈍感な、理解が遅い,どんかんな、りかいがおそい
in exchange for,と交換に,とこうかんに
at one time,一度に、同時に,いちどに、どうじに
pop up,飛び出す、出現する,とびだす、しゅつげんする
admit,認める、認可する。事実や過ちを受け入れること。また、入場を許可する意味も。,みとめる、にんかする。じじつやあやまちをうけいれること。また、にゅうじょうをきょかするいみも。
cousin,いとこ,いとこ
categorize A as B,AをBの範疇に分ける、AをBとして分類する,AをBのはんちゅうにわける、AをBとしてぶんるいする
horticulture,園芸、庭園作り,えんげい、ていえんつくり
complaint,苦情。満足していないことを表明する不平や文句を意味します。,くじょう。まんぞくしていないことをひょうめいするふへいやもんくをいみします。
indispensable,欠かせない、必須の,かかせない、ひっすの
massive,大規模な、巨大な、膨大な。,だいきぼな、きょだいな、ぼうだいな。
flippant,軽薄な,けいはくな
interfere in,に干渉する、介入する,にかんしょうする、かいにゅうする
adequate,適切な、十分な、ふさわしい。,てきせつな、じゅうぶんな、ふさわしい。
whet,研ぐ,とぐ
absorption,吸収、吸取,きゅうしゅう、すいとり
elation,得意げ,とくいげ
confiscate,没収する、押収する,ぼっしゅうする、おうしゅうする
lovely,見た目や雰囲気が美しい。,みためやふんいきがうつくしい。
rectangular,長方形の,ちょうほうけいの
assessment,評価、査定のプロセス。,ひょうか、さていのぷろせす。
go well with,に似合う,ににあう
a touch of,ほんの少しの、一抹の,ほんのすこしの、いちまつの
decency,良識、良知,りょうしき、よしとも
euphoric,陶酔している,とうすいしている
damned,のろわれた,のろわれた
formation,形成、構成,けいせい、こうせい
lewd,淫らな,みだらな
screw up,失敗する、しくじる,しっぱいする、しくじる
snatch,ひったくる、奪い取る,ひったくる、うばいとる
lobe,耳たぶ、耳垂、耳たぼ,みみたぶ、みみたり、みみたぼ
endeavor,努力する、試みる,どりょくする、こころみる
obese,肥満体の,ひまんたいの
dividend,株主に配分される利益。,かぶぬしにはいぶんされるりえき。
quarrel with,とけんかする、口論する,とけんかする、こうろんする
be appropriate to,にふさわしい、適している,にふさわしい、てきしている
thumb a ride,ヒッチハイクする,ひっちはいくする
galvanize,電流を流す、通電する,でんりゅうをながす、つうでんする
less than,未満,みまん
when in rome,郷に入れば郷に従え,さとにいればさとにしたがえ
athletic,スポーツに関連する。,すぽーつにかんれんする。
beach,砂浜,すなはま
demolish,取り壊す、壊す,とりこわす、こわす
hit it off,仲良くやる、ウマが合う,なかよくやる、うまがあう
environment,環境、周囲の状況。,かんきょう、しゅういのじょうきょう。
fraud,詐欺、ごまかし,さぎ、ごまかし
interminable,果てしない,はてしない
at best,せいぜい、良くとも,せいぜい、よくとも
fidelity,忠実度,ちゅうじつど
get even with,にやり返す,にやりかえす
abstain from,を控える、慎む,をひかえる、つつしむ
ludicrous,ばかげた,ばかげた
snore,いびきをかく、睡眠中にうるさく呼吸する,いびきをかく、すいみんちゅうにうるさくこきゅうする
contend,争う、戦う,あらそう、たたかう
invade,に侵入する、を侵略する,にしんにゅうする、をしんりゃくする
envy,うらやみ、ねたみ,うらやみ、ねたみ
precipice,絶壁,ぜっぺき
as it stands,現状では、今のところでは、現在の状態で,げんじょうでは、いまのところでは、げんざいのじょうたいで
even so,それでも,それでも
approximation,近似,きんじ
calamitous,災害の、悲惨な,さいがいの、ひさんな
far from,～から遠い,~からとおい
home staging,住宅演出,じゅうたくえんしゅつ
stop,止める,やめる
mean,意味する。ある言葉や行動が表す内容。,いみする。あることばやこうどうがあらわすないよう。
on site,その場所で行われる。,そのばしょでおこなわれる。
world,世界、地球,せかい、ちきゅう
fish for,聞き出す、誘い出す,ききだす、さそいだす
see eye to eye,意見が一致する,いけんがいっちする
lunar,月の,がつの
be up to,にゆだねられている,にゆだねられている
depreciation,資産の価値減少、償却,しさんのかちげんしょう、しょうきゃく
envoy,使者、代理人や遣使,ししゃ、だいりにんやけんし
transportation,輸送。人や物をある場所から別の場所へ運ぶこと。,ゆそう。にんやものをあるばしょからべつのばしょへはこぶこと。
domain,領地、領土,りょうち、りょうど
vacated,空いた、退去した、明け渡された,あいた、たいきょした、あけわたされた
imperial,帝国の、皇帝の。帝国や皇室に関連すること。,ていこくの、こうていの。ていこくやこうしつにかんれんすること。
equitable,公平な、平等な,こうへいな、びょうどうな
contentious,論争好きな、争い好きな,ろんそうすきな、あらそいすきな
abortion,中絶、妊娠中絶,ちゅうぜつ、にんしんちゅうぜつ
reimbursement,償還、払い戻し、返金。,しょうかん、はらいもどし、へんきん。
mother tongue,母国語、母語,ぼこくご、ぼご
warm,温度が快適に暖かい、温暖な。,おんどがかいてきにあたたかい、おんだんな。
go straight,まっすぐ行く,まっすぐいく
proficiency,熟練性。あることを熟達していること。,じゅくれんせい。あることをじゅくたつしていること。
cat,猫,ねこ
timid,臆病な,おくびょうな
hostile,敵意のある、反感を持つ、敵対視する,てきいのある、はんかんをもつ、てきたいしする
interruption,妨害、中断,ぼうがい、ちゅうだん
deputy,代理、代わり,だいり、かわり
whatever,何でも、どんなものでも。すべての可能性を含む場合の表現。,なんでも、どんなものでも。すべてのかのうせいをふくむばあいのひょうげん。
intangible,触れられない,ふれられない
push A back,Aを遅らせる、Aを抑制する,Aをおくらせる、Aをよくせいする
quit,辞める、断念する,やめる、だんねんする
dry,乾いた,かわいた
finance,財務、金融、財政。,ざいむ、きんゆう、ざいせい。
assembly,集会、組立、議会,しゅうかい、くみたて、ぎかい
familiar,見慣れた、よく知っている。,みなれた、よくしっている。
exit poll,出口調査,でぐちちょうさ
in person,直接に、対面で,ちょくせつに、たいめんで
off the top of my head,ぱっと思いつく限りで,ぱっとおもいつくかぎりで
antique,骨董の、古風な,こっとうの、こふうな
killer,殺人者、凶悪犯,さつじんしゃ、きょうあくはん
clerical,事務作業に関する。,じむさぎょうにかんする。
at stake,危機に瀕して,ききにひんして
budge,少し動く,すこしうごく
fuel,燃料、エネルギー源。機械や車を動かすための物質。,ねんりょう、えねるぎーげん。きかいやくるまをうごかすためのぶっしつ。
doldrums,無風地帯,むふうちたい
ramification,分岐、分岐点,ぶんき、ぶんきてん
peek,のぞき見る、ちらっとのぞく,のぞきみる、ちらっとのぞく
arm,腕,うで
president,社長、学長、大統領。組織のトップを指す。,しゃちょう、がくちょう、だいとうりょう。そしきのとっぷをさす。
uniform,制服,せいふく
miscellaneous,雑多な,ざったな
seize,つかむ、把握する,つかむ、はあくする
sign off,やめる,やめる
vista,眺望、景色,ちょうぼう、けしき
performed,実行した、演じた。タスクや演技を行うこと。,じっこうした、えんじた。たすくやえんぎをおこなうこと。
repository,倉庫、蔵,そうこ、くら
weaken,力や効果を弱める、低下させること。,ちからやこうかをよわめる、ていかさせること。
capital,経済活動のための資本。,けいざいかつどうのためのしほん。
reward,努力や成果に対して与えられるご褒美、報奨、または報酬を与えること。,どりょくやせいかにたいしてあたえられるごほうび、ほうしょう、またはほうしゅうをあたえること。
embroidery,刺繍,ししゅう
in,中に,なかに
lore,伝承、口頭や文書で伝えられる習慣や話、口承,でんしょう、こうとうやぶんしょでつたえられるしゅうかんやはなし、こうしょう
sustain,保持する。続ける、支える。,ほじする。つづける、ささえる。
pick over,吟味して選ぶ、選び抜く,ぎんみしてえらぶ、えらびぬく
frequent,頻繁な、しばしばの。よく起こるさま。,ひんぱんな、しばしばの。よくおこるさま。
attach to,に添える、に取り付ける,にそえる、にとりつける
culmination,絶頂、最高点、頂点,ぜっちょう、さいこうてん、ちょうてん
at times,時々,ときどき
accidentally,偶然に、思いがけなく、誤って。,ぐうぜんに、おもいがけなく、あやまって。
duchy,公国,こうこく
calmly,落ち着いて、静かに,おちついて、しずかに
tens of thousands,何万もの、数万の,なんまんもの、すうまんの
attached,付属の、添付された。メールの添付ファイルや、物に付随するものを指す。,ふぞくの、てんぷされた。めーるのてんぷふぁいるや、ものにふずいするものをさす。
crumb,パンくず,ぱんくず
habit,習慣、癖。繰り返し行う行動やパターン。,しゅうかん、くせ。くりかえしおこなうこうどうやぱたーん。
writ,令状、逮捕令,れいじょう、たいほれい
scholar,知識を持つ学問的な人。,ちしきをもつがくもんてきなにん。
verify,確認する。情報や状況の真実性や正確性を調べて確認すること。,かくにんする。じょうほうやじょうきょうのしんじつせいやせいかくせいをしらべてかくにんすること。
to all appearances,どうみても、明らかに,どうみても、あきらかに
axis,軸,じく
sorely,ひどく、非常に,ひどく、ひじょうに
abdicate,退位する、辞める,たいいする、やめる
untenable,耐えられない,たえられない
be faithful to,に忠義を尽くす、付いていく,にちゅうぎをつくす、ついていく
abdomen,腹部、腹の部分,ふくぶ、はらのぶぶん
espouse,支持する、後援する,しじする、こうえんする
abundance,豊富さ、豊かさの状態。,ほうふさ、ゆたかさのじょうたい。
shameful,恥ずべき,はずべき
edible,食べられる、摂取可能な,たべられる、せっしゅかのうな
insolvency,支払不能、破産,しはらいふのう、はさん
diverge,分岐する、分かれる,ぶんきする、わかれる
twenty,20,20
fraught,いっぱいの、緊張をはらんだ,いっぱいの、きんちょうをはらんだ
resolute,断固たる,だんこたる
inform,知らせる。情報を伝えることや、事実を報告することを意味します。,しらせる。じょうほうをつたえることや、じじつをほうこくすることをいみします。
intimidation,脅迫、威嚇,きょうはく、いかく
saloon,大広間,おおひろま
still,まだ、それでも、やはり,まだ、それでも、やはり
entrust A with B,AにBを委託する、任せる,AにBをいたくする、まかせる
happen,起こる、または発生する。出来事や予期しないことが生じることを表します。,おこる、またははっせいする。できごとやよきしないことがしょうじることをあらわします。
assigned,仕事などを割り当てられた,しごとなどをわりあてられた
police officer,警察官,けいさつかん
have a whale of a time,楽しい時を過ごす、大いに楽しむ,たのしいときをすごす、おおいにたのしむ
violence,暴力、乱暴,ぼうりょく、らんぼう
separation,分離、区分,ぶんり、くぶん
unanticipated,予測されていない状況。,よそくされていないじょうきょう。
manufacture,工業製品を製造する,こうぎょうせいひんをせいぞうする
sneak up on,忍び寄る、こっそり近づく,しのびよる、こっそりちかづく
lamb of god,神の子羊,かみのこひつじ
atheist,無神論者,むしんろんしゃ
sum up,を合計する、要約する,をごうけいする、ようやくする
come down to,結局～になる、に帰する,けっきょく~になる、にかえする
brutally,残酷に、無慈悲に,ざんこくに、むじひに
bigotry,偏屈、頑固,へんくつ、がんこ
behavioral,行動上の、行動の,こうどううえの、こうどうの
await,特定の事柄を待つこと。,とくていのことがらをまつこと。
want for,に欠ける、必要とする,にかける、ひつようとする
formidable,恐ろしい、手ごわい,おそろしい、てごわい
dormitory,寮、学生寮,りょう、がくせいりょう
watershed,分水領、分岐点,ぶんすいりょう、ぶんきてん
exchange,交換,こうかん
sod,芝,しば
resonant,共鳴する、感じ合う、同調する,きょうめいする、かんじあう、どうちょうする
be not much of,たいした～ではない,たいした~ではない
pout,口をとがらせる,くちをとがらせる
by means of,によって、を用いて,によって、をもちいて
till,まで、～するまで、耕す。,まで、~するまで、たがやす。
operating,機械や装置が作動している状態。,きかいやそうちがさどうしているじょうたい。
suspicion,疑い、疑惑,うたがい、ぎわく
esoteric,秘儀の、神秘的な,ひぎの、しんぴてきな
rodent,齧歯類、小型哺乳動物,げっしるい、こがたほにゅうどうぶつ
all over again,もう一度,もういちど
on the air,放送中の,ほうそうちゅうの
jubilee,記念祭,きねんさい
insurgency,反乱、反乱軍,はんらん、はんらんぐん
lest,しないように,しないように
hump,こぶ、隆起,こぶ、りゅうき
prick,をちくりと刺す,をちくりとさす
fall prey to,の餌食になる、犠牲になる,のえじきになる、ぎせいになる
tactic,戦術,せんじゅつ
vandalize,わざと壊す、故意に破壊する,わざとこわす、こいにはかいする
equities,株式、自己資本,かぶしき、じこしほん
execution,実行、計画の遂行行為。,じっこう、けいかくのすいこうこうい。
venture,冒険的事業、投機的事業,ぼうけんてきじぎょう、とうきてきじぎょう
puppy,子犬、幼犬,こいぬ、よういぬ
fountain,水を上方に噴き上げる装置,みずをじょうほうにふきあげるそうち
sputter,唾を飛ばして喋る,つばをとばしてしゃべる
inside out,裏返しに、ひっくり返して,うらかえしに、ひっくりかえして
wit,機転、知性、ユーモア,きてん、ちせい、ゆーもあ
overdraft,当座預金の貸越限度額,とうざよきんのかしこしげんどがく
ensemble,全体的効果、全般的な影響、全体の影響,ぜんたいてきこうか、ぜんぱんてきなえいきょう、ぜんたいのえいきょう
to go,持ち帰り,もちかえり
vapid,抜けた、風味のない,ぬけた、ふうみのない
erosion,侵食,しんしょく
pilgrim,巡礼者,じゅんれいもの
compare,二つを比較し考察する。,ふたつをひかくしこうさつする。
philosophical,哲学的な思考や視点に関する。,てつがくてきなしこうやしてんにかんする。
restrain,抑える、抑制する,おさえる、よくせいする
beware,用心する、気を付ける,ようじんする、きをつける
hemisphere,半球,はんきゅう
reduce,削減する。量や規模を小さくしたり、負担を軽減することを指します。,さくげんする。りょうやきぼをちーさくしたり、ふたんをけいげんすることをさします。
banknotes,紙幣、お金の一種で、通常は銀行によって発行されます。,しへい、おかねのいっしゅで、つうじょうはぎんこうによってはっこうされます。
deserve,ふさわしい、値する,ふさわしい、あたいする
wrest,もぎ取る,もぎとる
replenish,補充する、足りないものを追加する,ほじゅうする、たりないものをついかする
long ago,ずっと昔に,ずっとむかしに
yank someone's chain,人をからかう、困らせる,にんをからかう、こまらせる
endorse,支持や推薦を表明すること。,しじやすいせんをひょうめいすること。
traitor,裏切り者、反逆者,うらぎりもの、はんぎゃくしゃ
freezer,冷凍庫,れいとうこ
so-called,いわゆる、世間でいう,いわゆる、せけんでいう
sneeze,くしゃみ・くしゃみをする,くしゃみ・くしゃみをする
cope,対処する、対応する,たいしょする、たいおうする
report,報告。ある事柄についてまとめた文書。,ほうこく。あることがらについてまとめたぶんしょ。
entrust,委託する、依頼する,いたくする、いらいする
theology,神学、宗教学,しんがく、しゅうきょうがく
disband,解散する、ばらばらにする,かいさんする、ばらばらにする
her,彼女の,かのじょの
rapid,急速な、非常に速い。,きゅうそくな、ひじょうにはやい。
sage,賢明な,けんめいな
step in,介入する、立ち入る,かいにゅうする、たちいる
unethical,非倫理的な、不道徳な,ひりんりてきな、ふどうとくな
latitude,緯度、緯線,いど、いせん
equestrian,馬術の,ばじゅつの
go to,へ行く,へいく
appointment,約束、予約、面会,やくそく、よやく、めんかい
wayward,わがままな,わがままな
considered,検討されている状態。,けんとうされているじょうたい。
paltry,取るに足らない、価値のない,とるにたらない、かちのない
diaper,おむつ、おしめ,おむつ、おしめ
be bound for,に向かっている,にむかっている
stack,積み重ねる。物を重ねて置くこと。比喩的に、多くのものを集めることを表すこともある。,つみかさねる。ものをおもねておくこと。ひゆてきに、おおくのものをあつめることをあらわすこともある。
in a second,すぐに、一瞬で,すぐに、いっしゅんで
hunger,食物が不足する状態。,たべものがふそくするじょうたい。
tissue,組織、ティッシュペーパー,そしき、てぃっしゅぺーぱー
irk,いらいらさせる,いらいらさせる
insight,洞察。物事の本質を見抜く深い理解や見識のこと。,どうさつ。ものごとのほんしつをみぬくふかいりかいやけんしきのこと。
forlorn,孤独な、寂しい,こどくな、さびしい
awry,歪んで,ひずんで
sanity,正気,しょうき
fail,失敗する。期待された結果が得られない状態や、不成功に終わることを意味します。,しっぱいする。きたいされたけっかがえられないじょうたいや、ふせいこうにおわることをいみします。
zest,熱意,ねつい
enjoyed,楽しんだ,たのしんだ
vivacious,快活な,かいかつな
decimate,殺す,ころす
check out,を調査する,をちょうさする
how have you been?,どうしてましたか？,どうしてましたか?
neither A nor B,AでもBでもない,AでもBでもない
came,来た,きた
for the good of,のために、の(利益の)ために,のために、の(りえきの)ために
followed,従った、後に続いた。,したがった、のちにつづいた。
toxic to,に有毒な、～に対して毒性を持つ,にゆうどくな、~にたいしてどくせいをもつ
come into,に入る、受け継ぐ,にいる、うけつぐ
scowl,顔をしかめる,かおをしかめる
cramped,狭苦しい、窮屈な,せまくるしい、きゅうくつな
dent,へこみ、凹み,へこみ、くぼみ
suddenly,突然に,とつぜんに
distress,苦痛、苦悩、精神的な痛み。,くつう、くのう、せいしんてきないたみ。
furnished,家具付きの,かぐつきの
passport control,入国審査,にゅうこくしんさ
be to,することになっている,することになっている
in particular,特に、特に重要な、とりわけ,とくに、とくにじゅうような、とりわけ
furniture,家具。不可算名詞なので、a piece of furniture(一つの家具)という表現を使う。,かぐ。ふかさんめいしなので、a piece of furniture(ひとつのかぐ)というひょうげんをつかう。
galaxy,銀河,ぎんが
juvenile,少年の,しょうねんの
roast beef,ローストビーフ,ろーすとびーふ
ditto,同上,どうじょう
nerve,神経、神経線,しんけい、しんけいせん
accomplish,目標や課題を成し遂げる、完遂する。,もくひょうやかだいをなしとげる、かんすいする。
fly,飛ぶ,とぶ
air out,が乾く、乾燥する,がかわく、かんそうする
sister,姉妹,しまい
serrated,ギザギザの、鋸状の,ぎざぎざの、のこぎりじょうの
perceptual,知覚の,ちかくの
rapt,没頭した,ぼっとうした
at last,ついに、やっと,ついに、やっと
extremist,過激派、極端な,かげきは、きょくたんな
territory,領土、地域、分野,りょうど、ちいき、ぶんや
down the road,この先、将来,このさき、しょうらい
boastful,自慢の、高慢な,じまんの、こうまんな
illustration,図解、実例,ずかい、じつれい
frigid,極寒の、極寒地の,ごくさむの、ごくさむちの
insolent,横柄な,おうへいな
fiasco,大失態,だいしったい
ostentatious,派手な,はでな
nominal,名目上の、形式上の,めいもくじょうの、けいしきじょうの
latter,後者の、後半の。二つのうちの後ろのもの。,こうしゃの、こうはんの。ふたつのうちのうしろのもの。
bin,容器,ようき
incision,切開,せっかい
stand up for,を支持する,をしじする
trifle with,ぞんざいに扱う、いい加減にあしらう,ぞんざいにあつかう、いいかげんにあしらう
prosperity,繁栄、成功,はんえい、せいこう
piecemeal,少しずつ,すこしずつ
loosen,緩んでゆるくなる。,ゆるんでゆるくなる。
settle,解決する、定住する、決済する,かいけつする、ていじゅうする、けっさいする
metal,金属、金属製の,きんぞく、きんぞくせいの
outcome,結果、成果、帰結。,けっか、せいか、きけつ。
unexpected,予想外の出来事や結果。,よそうがいのできごとやけっか。
ally,と同盟する、連合する,とどうめいする、れんごうする
stop by,立ち寄る、短時間訪れる,たちよる、たんじかんおとずれる
